Date,DayOfWeek,Package,PricePerNight,Taxes&Fees,StayTotal,ChangeVector
11-29-2023,Wednesday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$995,n/a,$6968,⬆︎ (6968)
11-30-2023,Thursday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$995,n/a,$6968,🟰
11-30-2023,Thursday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$995,n/a,$6967,⬇︎ (-1)
12-1-2023,Friday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1050,n/a,$7354,⬆︎ (387)
12-1-2023,Friday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1050,n/a,$7355,⬆︎ (1)
12-2-2023,Saturday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1050,n/a,$7355,🟰
12-2-2023,Saturday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1050,n/a,$7354,⬇︎ (-1)
12-3-2023,Sunday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1050,n/a,$7354,🟰
12-4-2023,Monday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1050,n/a,$7354,🟰
12-5-2023,Tuesday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1050,n/a,$7354,🟰
12-5-2023,Tuesday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1067,n/a,$7469,⬆︎ (115)
12-6-2023,Wednesday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1070,n/a,$7493,⬆︎ (24)
12-6-2023,Wednesday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1070,n/a,$7493,🟰
12-7-2023,Thursday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1073,n/a,$7513,⬆︎ (20)
12-7-2023,Thursday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1073,n/a,$7513,🟰
12-8-2023,Friday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1115,n/a,$7808,⬆︎ (295)
12-8-2023,Friday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1115,n/a,$7809,⬆︎ (1)
12-9-2023,Saturday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1105,n/a,$7741,⬇︎ (-68)
12-9-2023,Saturday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1105,n/a,$7741,🟰
12-10-2023,Sunday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1064,n/a,$7451,⬇︎ (-290)
12-10-2023,Sunday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1064,n/a,$7451,🟰
12-11-2023,Monday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1077,n/a,$7544,⬆︎ (93)
12-11-2023,Monday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1068,n/a,$7479,⬇︎ (-65)
12-12-2023,Tuesday,Flexible Rate,$131$39.35,$301.66,🟰,
12-13-2023,Wednesday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1108,n/a,$7758,⬆︎ (279)
12-13-2023,Wednesday,Flexible Rate,$130,n/a‌,$301.66,🟰
12-14-2023,Thursday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1118,n/a,$7827,⬆︎ (69)
12-14-2023,Thursday,Flexible Rate,$127$38.33,$293.86,⬇︎ (-8),
12-14-2023,Thursday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1118,n/a,$7827,🟰
12-14-2023,Thursday,Flexible Rate,$127,$38.33,$293.86,⬇︎ (NaN)
12-14-2023,Thursday,Flexible Rate - Amarillo,$102,$15.33,$117.51,⬆︎ (118)
12-14-2023,Thursday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1055,n/a,$7386,⬇︎ (-441)
12-14-2023,Thursday,Flexible Rate - Amarillo,$102,$15.33,$117.51,🟰
12-14-2023,Thursday,Flexible Rate,$12,7$38.33,$293.86,🟰
12-14-2023,Thursday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1055,n/a,$7386,🟰
12-15-2023,Friday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1055,n/a,$7386,🟰
12-15-2023,Friday,Flexible Rate,$127,$38.33,$293.86,🟰
12-15-2023,Friday,Flexible Rate - Amarillo,$102,$15.33,$117.51,🟰
12-15-2023,Friday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1016,n/a,$7115,⬇︎ (-271)
12-15-2023,Friday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1016,n/a,$7115,🟰
12-15-2023,Friday,Flexible Rate,$130,$39.19,$300.42,⬆︎ (7)
12-15-2023,Friday,Flexible Rate,$130,$39.19,$300.42,🟰
12-16-2023,Saturday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1016,n/a,$7115,🟰
12-16-2023,Saturday,Flexible Rate,$130,$39.19,$300.42,🟰
12-16-2023,Saturday,Flexible Rate - Amarillo,$102,$15.33,$117.51,🟰
12-16-2023,Saturday,Flexible Rate,$133,$39.92,$306.04,⬆︎ (6)
12-17-2023,Sunday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1016,n/a,$7115,🟰
12-17-2023,Sunday,Flexible Rate,$133,$39.92,$306.04,🟰
12-17-2023,Sunday,Flexible Rate - Amarillo,$102,$15.33,$117.51🟰,
12-17-2023,Sunday,Flexible Rate,$131,$39.50,$302.83,⬇︎ (-3)
12-18-2023,Monday,ENCLAVE GARDEN VIEW - 2 QUEEN BEDS,$1016,n/a,$7115,🟰
