Date,DayOfWeek,Package,PricePerNight,Taxes&Fees,StayTotal,ChangeVector
10-24-2023,Tuesday,BWE,$2510.05,$714.04,$2722.08,1
10-24-2023,Tuesday,EXTENDED SNOWCATION,$2657.70,$744.02,$2870.18,1
10-24-2023,Tuesday,STANDARD ROOM RATE,$2953.00,$803.98,$3166.38,1
10-25-2023,Wednesday,BWE,$2500.70,$712.14,$2712.70,⬇︎ (-9)
10-25-2023,Wednesday,EXTENDED SNOWCATION,$2647.80,$742.01,$2860.25,⬇︎ (-10)
10-25-2023,Wednesday,STANDARD ROOM RATE,$2942.00,$801.74,$3155.34,⬇︎ (-11)
10-26-2023,Thursday,BWE,$2495.60,$711.11,$2707.59,⬇︎ (-5)
10-26-2023,Thursday,EXTENDED SNOWCATION,$2642.40,$740.90,$2854.82,⬇︎ (-5)
10-26-2023,Thursday,STANDARD ROOM RATE,$2936.00,$800.52,$3149.32,⬇︎ (-6)
10-26-2023,Thursday,BWE,$2496.45,$711.28,$2708.44,⬆︎ (1)
10-26-2023,Thursday,EXTENDED SNOWCATION,$2643.30,$741.10,$2855.74,⬆︎ (1)
10-26-2023,Thursday,STANDARD ROOM RATE,$2937.00,$800.72,$3150.32,⬆︎ (1)
10-27-2023,Friday,BWE,$2491.35,$710.24,$2703.32,⬇︎ (-5)
10-27-2023,Friday,EXTENDED SNOWCATION,$2637.90,$740.01,$2850.33,⬇︎ (-5)
10-27-2023,Friday,STANDARD ROOM RATE,$2931.00,$799.51,$3144.31,⬇︎ (-6)
10-27-2023,Friday,BWE,$2511.75,$714.38,$2723.78,⬆︎ (20)
10-27-2023,Friday,EXTENDED SNOWCATION,$2659.50,$744.40,$2872.00,⬆︎ (22)
10-27-2023,Friday,STANDARD ROOM RATE,$2955.00,$804.40,$3168.40,⬆︎ (24)
10-28-2023,Saturday,BWE,$2527.90,$717.67,$2739.99,⬆︎ (16)
10-28-2023,Saturday,EXTENDED SNOWCATION,$2676.60,$747.86,$2889.14,⬆︎ (17)
10-28-2023,Saturday,STANDARD ROOM RATE,$2974.00,$808.25,$3187.45,⬆︎ (19)
10-28-2023,Saturday,BWE,$2516.85,$715.42,$2728.90,⬇︎ (-11)
10-28-2023,Saturday,EXTENDED SNOWCATION,$2664.90,$745.48,$2877.40,⬇︎ (-12)
10-28-2023,Saturday,STANDARD ROOM RATE,$2961.00,$805.60,$3174.40,⬇︎ (-13)
10-29-2023,Sunday,BWE,$2517.70,$715.59,$2729.75,⬆︎ (1)
10-29-2023,Sunday,EXTENDED SNOWCATION,$2665.80,$745.66,$2878.30,⬆︎ (1)
10-29-2023,Sunday,STANDARD ROOM RATE,$2962.00,$805.81,$3175.41,⬆︎ (1)
10-29-2023,Sunday,BWE,$2506.65,$713.35,$2718.67,⬇︎ (-11)
10-29-2023,Sunday,EXTENDED SNOWCATION,$2654.10,$743.28,$2866.56,⬇︎ (-12)
10-29-2023,Sunday,STANDARD ROOM RATE,$2949.00,$803.16,$3162.36,⬇︎ (-13)
10-30-2023,Monday,BWE,$2524.50,$716.98,$2736.58,⬆︎ (18)
10-30-2023,Monday,EXTENDED SNOWCATION,$2673.00,$747.13,$2885.53,⬆︎ (19)
10-30-2023,Monday,STANDARD ROOM RATE,$2970.00,$807.43,$3183.43,⬆︎ (21)
10-31-2023,Tuesday,BWE,$2516.85,$715.42,$2728.90,⬇︎ (-8)
10-31-2023,Tuesday,EXTENDED SNOWCATION,$2664.90,$745.48,$2877.40,⬇︎ (-8)
10-31-2023,Tuesday,STANDARD ROOM RATE,$2961.00,$805.60,$3174.40,⬇︎ (-9)
11-1-2023,Wednesday,BWE,$2519.40,$715.94,$2731.46,⬆︎ (3)
11-1-2023,Wednesday,EXTENDED SNOWCATION,$2667.60,$746.04,$2880.12,⬆︎ (3)
11-1-2023,Wednesday,STANDARD ROOM RATE,$2964.00,$806.21,$3177.41,⬆︎ (3)
11-1-2023,Wednesday,BWE,$2511.75,$714.38,$2723.78,⬇︎ (-8)
11-1-2023,Wednesday,EXTENDED SNOWCATION,$2659.50,$744.40,$2872.00,⬇︎ (-8)
11-1-2023,Wednesday,STANDARD ROOM RATE,$2955.00,$804.40,$3168.40,⬇︎ (-9)
11-2-2023,Thursday,BWE,$2510.90,$714.23,$2722.95,⬇︎ (-1)
11-2-2023,Thursday,EXTENDED SNOWCATION,$2658.60,$744.21,$2871.09,⬇︎ (-1)
11-2-2023,Thursday,STANDARD ROOM RATE,$2954.00,$804.18,$3167.38,⬇︎ (-1)
11-2-2023,Thursday,BWE,$2519.40,$715.94,$2731.46,⬆︎ (9)
11-2-2023,Thursday,EXTENDED SNOWCATION,$2667.60,$746.04,$2880.12,⬆︎ (9)
11-2-2023,Thursday,STANDARD ROOM RATE,$2964.00,$806.21,$3177.41,⬆︎ (10)
11-3-2023,Friday,BWE,$2532.15,$718.52,$2744.24,⬆︎ (13)
11-3-2023,Friday,EXTENDED SNOWCATION,$2681.10,$748.76,$2893.64,⬆︎ (14)
11-3-2023,Friday,STANDARD ROOM RATE,$2979.00,$809.26,$3192.46,⬆︎ (15)
11-3-2023,Friday,BWE,$2540.65,$720.26,$2752.78,⬆︎ (9)
11-3-2023,Friday,EXTENDED SNOWCATION,$2690.10,$750.59,$2902.67,⬆︎ (9)
11-3-2023,Friday,STANDARD ROOM RATE,$2989.00,$811.29,$3202.49,⬆︎ (10)
11-4-2023,Saturday,BWE,$2333.25,$678.15,$2544.75,⬇︎ (-208)
11-4-2023,Saturday,EXTENDED SNOWCATION,$2470.50,$706.01,$2682.41,⬇︎ (-220)
11-4-2023,Saturday,STANDARD ROOM RATE,$2745.00,$761.75,$2957.75,⬇︎ (-245)
11-4-2023,Saturday,BWE,$2347.70,$681.07,$2559.23,⬆︎ (14)
11-4-2023,Saturday,EXTENDED SNOWCATION,$2485.80,$709.12,$2697.76,⬆︎ (15)
11-4-2023,Saturday,STANDARD ROOM RATE,$2762.00,$765.20,$2974.80,⬆︎ (17)
11-5-2023,Sunday,BWE,$2351.10,$681.76,$2562.64,⬆︎ (3)
11-5-2023,Sunday,EXTENDED SNOWCATION,$2489.40,$709.85,$2701.37,⬆︎ (4)
11-5-2023,Sunday,STANDARD ROOM RATE,$2766.00,$766.00,$2978.80,⬆︎ (4)
11-6-2023,Monday,BWE,$2355.35,$682.63,$2566.91,⬆︎ (4)
11-6-2023,Monday,EXTENDED SNOWCATION,$2493.90,$710.75,$2705.87,⬆︎ (5)
11-6-2023,Monday,STANDARD ROOM RATE,$2771.00,$767.03,$2983.83,⬆︎ (5)
11-6-2023,Monday,BWE,$2357.05,$682.97,$2568.61,⬆︎ (2)
11-6-2023,Monday,EXTENDED SNOWCATION,$2495.70,$711.13,$2707.69,⬆︎ (2)
11-6-2023,Monday,STANDARD ROOM RATE,$2773.00,$767.44,$2985.84,⬆︎ (2)
11-7-2023,Tuesday,BWE,$2362.15,$684.00,$2573.72,⬆︎ (5)
11-7-2023,Tuesday,EXTENDED SNOWCATION,$2501.10,$712.21,$2713.09,⬆︎ (5)
11-7-2023,Tuesday,STANDARD ROOM RATE,$2779.00,$768.64,$2991.84,⬆︎ (6)
11-7-2023,Tuesday,BWE,$2355.35,$682.63,$2566.91,⬇︎ (-7)
11-7-2023,Tuesday,EXTENDED SNOWCATION,$2493.90,$710.75,$2705.87,⬇︎ (-7)
11-7-2023,Tuesday,STANDARD ROOM RATE,$2771.00,$767.03,$2983.83,⬇︎ (-8)
11-8-2023,Wednesday,BWE,$2366.40,$684.87,$2577.99,⬆︎ (11)
11-8-2023,Wednesday,EXTENDED SNOWCATION,$2505.60,$713.13,$2717.61,⬆︎ (12)
11-8-2023,Wednesday,STANDARD ROOM RATE,$2784.00,$769.67,$2996.87,⬆︎ (13)
11-8-2023,Wednesday,BWE,$2073.15,$625.33,$2283.85,⬇︎ (-294)
11-8-2023,Wednesday,EXTENDED SNOWCATION,$2195.10,$650.09,$2406.17,⬇︎ (-311)
11-8-2023,Wednesday,STANDARD ROOM RATE,$2439.00,$699.62,$2650.82,⬇︎ (-346)
11-9-2023,Thursday,BWE,$2071.45,$624.98,$2282.14,⬇︎ (-2)
11-9-2023,Thursday,EXTENDED SNOWCATION,$2193.30,$649.73,$2404.37,⬇︎ (-2)
11-9-2023,Thursday,STANDARD ROOM RATE,$2437.00,$699.21,$2648.81,⬇︎ (-2)
11-9-2023,Thursday,BWE,$1484.95,$505.91,$1693.87,⬇︎ (-588)
11-9-2023,Thursday,EXTENDED SNOWCATION,$1572.30,$523.64,$1781.48,⬇︎ (-623)
11-9-2023,Thursday,STANDARD ROOM RATE,$1747.00,$559.10,$1956.70,⬇︎ (-692)
11-9-2023,Thursday,BWE,$1484.95,$505.91,$1693.87,🟰
11-9-2023,Thursday,EXTENDED SNOWCATION,$1572.30,$523.64,$1781.48,🟰
11-9-2023,Thursday,STANDARD ROOM RATE,$1747.00,$559.10,$1956.70,🟰
11-10-2023,Friday,BWE,$1774.80,$564.76,$1984.60,⬆︎ (291)
11-10-2023,Friday,EXTENDED SNOWCATION,$1879.20,$585.96,$2089.32,⬆︎ (308)
11-10-2023,Friday,STANDARD ROOM RATE,$2088.00,$628.34,$2298.74,⬆︎ (342)
11-10-2023,Friday,BWE_kids,$1536.80,$516.43,$1745.87,⬆︎ (1746)
11-10-2023,Friday,BWE,$1774.80,$564.76,$1984.60,🟰
11-10-2023,Friday,EXTENDED SNOWCATION,$1879.20,$585.96,$2089.32,🟰
11-10-2023,Friday,STANDARD ROOM RATE,$2088.00,$628.34,$2298.74,🟰
11-10-2023,Friday,BWE_kids,$1536.80,$516.43,$1745.87,🟰
11-10-2023,Friday,BWE,$1811.35,$572.18,$2021.26,⬆︎ (37)
11-10-2023,Friday,EXTENDED SNOWCATION,$1917.90,$593.81,$2128.13,⬆︎ (39)
11-10-2023,Friday,STANDARD ROOM RATE,$2131.00,$637.08,$2341.88,⬆︎ (43)
11-10-2023,Friday,BWE_kids,$1573.35,$523.86,$1782.54,⬆︎ (37)
11-11-2023,Saturday,BWE,$1814.75,$572.86,$2024.66,⬆︎ (3)
11-11-2023,Saturday,EXTENDED SNOWCATION,$1921.50,$594.55,$2131.75,⬆︎ (4)
11-11-2023,Saturday,STANDARD ROOM RATE,$2135.00,$637.90,$2345.90,⬆︎ (4)
11-11-2023,Saturday,BWE_kids,$1576.75,$524.55,$1785.95,⬆︎ (3)
11-11-2023,Saturday,BWE,$1804.55,$570.80,$2014.44,⬇︎ (-10)
11-11-2023,Saturday,EXTENDED SNOWCATION,$1910.70,$592.35,$2120.91,⬇︎ (-11)
11-11-2023,Saturday,STANDARD ROOM RATE,$2123.00,$635.46,$2333.86,⬇︎ (-12)
11-11-2023,Saturday,BWE_kids,$1566.55,$522.48,$1775.72,⬇︎ (-10)
11-12-2023,Sunday,BWE,$1749.30,$559.58,$1959.02,⬇︎ (-55)
11-12-2023,Sunday,EXTENDED SNOWCATION,$1852.20,$580.48,$2062.24,⬇︎ (-59)
11-12-2023,Sunday,STANDARD ROOM RATE,$2058.00,$622.26,$2268.66,⬇︎ (-65)
