Date,DayOfWeek,Package,PricePerNight,Taxes&Fees,StayTotal,ChangeVector
01-4-2024,Thursday,Comfortable Condo close to Slopes with a Hot Tub!,$357,$419,$3599,⬆︎ (3599)
01-5-2024,Friday,Comfortable Condo close to Slopes with a Hot Tub!,$357,$419,$3599,⬆︎ (3599)
01-5-2024,Friday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,⬆︎ (2243)
01-5-2024,Friday,Comfortable Condo close to Slopes with a Hot Tub!,$357,$419,$3599,🟰
01-5-2024,Friday,"Hot Tub, Close Walk to the Slopes!",$304,$357,$3022,⬆︎ (3022)
01-5-2024,Friday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$324,$382,$3219,⬆︎ (3219)
01-5-2024,Friday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-5-2024,Friday,"Hot Tub, Close Walk to the Slopes!",$304,$357,$3022,🟰
01-5-2024,Friday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$324,$382,$3219,🟰
01-6-2024,Saturday,Comfortable Condo close to Slopes with a Hot Tub!,$357,$419,$3599,🟰
01-6-2024,Saturday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-6-2024,Saturday,"Hot Tub, Close Walk to the Slopes!",$304,$357,$3022,🟰
01-6-2024,Saturday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$324,$382,$3219,🟰
01-7-2024,Sunday,Comfortable Condo close to Slopes with a Hot Tub!,$357,$419,$3599,🟰
01-7-2024,Sunday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-7-2024,Sunday,"Hot Tub, Close Walk to the Slopes!",$304,$357,$3022,🟰
01-7-2024,Sunday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$324,$382,$3219,🟰
01-7-2024,Sunday,Comfortable Condo close to Slopes with a Hot Tub!,$354,$416,$3575,⬇︎ (-24)
01-7-2024,Sunday,"Hot Tub, Close Walk to the Slopes!",$302,$355,$3003,⬇︎ (-19)
01-7-2024,Sunday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$322,$379,$3194,⬇︎ (-25)
01-8-2024,Monday,Comfortable Condo close to Slopes with a Hot Tub!,$354,$416,$3575,🟰
01-8-2024,Monday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-8-2024,Monday,"Hot Tub, Close Walk to the Slopes!",$302,$355,$3003,🟰
01-8-2024,Monday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$322,$379,$3194,🟰
01-9-2024,Tuesday,Comfortable Condo close to Slopes with a Hot Tub!,$354,$416,$3575,🟰
01-9-2024,Tuesday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-9-2024,Tuesday,"Hot Tub, Close Walk to the Slopes!",$302,$355,$3003,🟰
01-9-2024,Tuesday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$322,$379,$3194,🟰
01-10-2024,Wednesday,Comfortable Condo close to Slopes with a Hot Tub!,$361,$424,$3637,⬆︎ (62)
01-10-2024,Wednesday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-10-2024,Wednesday,"Hot Tub, Close Walk to the Slopes!",$307,$362,$3058,⬆︎ (55)
01-10-2024,Wednesday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$327,$385,$3248,⬆︎ (54)
01-10-2024,Wednesday,Comfortable Condo close to Slopes with a Hot Tub!,$361,$424,$3637,🟰
01-10-2024,Wednesday,"Hot Tub, Close Walk to the Slopes!",$307,$362,$3058,🟰
01-10-2024,Wednesday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$327,$385,$3248,🟰
01-11-2024,Thursday,Comfortable Condo close to Slopes with a Hot Tub!,$361,$424,$3637,🟰
01-11-2024,Thursday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-11-2024,Thursday,"Hot Tub, Close Walk to the Slopes!",$307,$362,$3058,🟰
01-11-2024,Thursday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$327,$385,$3248,🟰
01-12-2024,Friday,Comfortable Condo close to Slopes with a Hot Tub!,$361,$424,$3637,🟰
01-12-2024,Friday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-12-2024,Friday,"Hot Tub, Close Walk to the Slopes!",$307,$362,$3058,🟰
01-12-2024,Friday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$327,$385,$3248,🟰
01-13-2024,Saturday,Comfortable Condo close to Slopes with a Hot Tub!,$361,$424,$3640,⬆︎ (3)
01-13-2024,Saturday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-13-2024,Saturday,"Hot Tub, Close Walk to the Slopes!",$307,$362,$3058,🟰
01-13-2024,Saturday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$328,$386,$3257,⬆︎ (9)
01-13-2024,Saturday,Comfortable Condo close to Slopes with a Hot Tub!,$361,$424,$3640,🟰
01-13-2024,Saturday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$328,$386,$3257,🟰
01-14-2024,Sunday,Comfortable Condo close to Slopes with a Hot Tub!,$361,$424,$3640,🟰
01-14-2024,Sunday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-14-2024,Sunday,"Hot Tub, Close Walk to the Slopes!",$307,$362,$3058,🟰
01-14-2024,Sunday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$328,$386,$3257,🟰
01-15-2024,Monday,Comfortable Condo close to Slopes with a Hot Tub!,$361,$424,$3640,🟰
01-15-2024,Monday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-15-2024,Monday,"Hot Tub, Close Walk to the Slopes!",$307,$362,$3058,🟰
01-15-2024,Monday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$328,$386,$3257,🟰
01-15-2024,Monday,Comfortable Condo close to Slopes with a Hot Tub!,$358,$421,$3611,⬇︎ (-29)
01-15-2024,Monday,"Hot Tub, Close Walk to the Slopes!",$305,$359,$3037,⬇︎ (-21)
01-15-2024,Monday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$325,$383,$3229,⬇︎ (-28)
01-16-2024,Tuesday,Comfortable Condo close to Slopes with a Hot Tub!,$358,$421,$3611,🟰
01-16-2024,Tuesday,Easy Mountain - Mt Crested Butte,$196,$231,$2243,🟰
01-16-2024,Tuesday,"Hot Tub, Close Walk to the Slopes!",$305,$359,$3037,🟰
01-16-2024,Tuesday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$325,$383,$3229,🟰
01-16-2024,Tuesday,Comfortable Condo close to Slopes with a Hot Tub!,$358,$421,$3597,⬇︎ (-14)
01-16-2024,Tuesday,Easy Mountain - Mt Crested Butte,$196,$231,$2234,⬇︎ (-9)
01-16-2024,Tuesday,"Hot Tub, Close Walk to the Slopes!",$305,$359,$3025,⬇︎ (-12)
01-16-2024,Tuesday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$325,$383,$3216,⬇︎ (-13)
01-17-2024,Wednesday,Comfortable Condo close to Slopes with a Hot Tub!,$358,$421,$3597,🟰
01-17-2024,Wednesday,Easy Mountain - Mt Crested Butte,$196,$231,$2234,🟰
01-17-2024,Wednesday,"Hot Tub, Close Walk to the Slopes!",$305,$359,$3025,🟰
01-17-2024,Wednesday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$325,$383,$3216,🟰
01-17-2024,Wednesday,"Ski-in/Ski-out, Panoramic ski slope views, Heated Garage",$575,$765,$5561,⬆︎ (5561)
01-17-2024,Wednesday,Cozy Crested Butte Condo 50 Yards from Ski Lift!,$662,$806,$6478,⬆︎ (6478)
01-17-2024,Wednesday,"Ski-In, Ski-Out Condo. Steps from the lift!",$275,$455,$2886,⬆︎ (2886)
01-18-2024,Thursday,Comfortable Condo close to Slopes with a Hot Tub!,$358,$421,$3597,🟰
01-18-2024,Thursday,Easy Mountain - Mt Crested Butte,$196,$231,$2234,🟰
01-18-2024,Thursday,"Hot Tub, Close Walk to the Slopes!",$305,$359,$3025,🟰
01-18-2024,Thursday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$325,$383,$3216,🟰
01-18-2024,Thursday,"Ski-in/Ski-out, Panoramic ski slope views, Heated Garage",$575,$765,$5561,🟰
01-18-2024,Thursday,Cozy Crested Butte Condo 50 Yards from Ski Lift!,$662,$806,$6478,🟰
01-18-2024,Thursday,"Ski-In, Ski-Out Condo. Steps from the lift!",$275,$455,$2886,🟰
01-18-2024,Thursday,Cozy Crested Butte Condo 50 Yards from Ski Lift!,$660,$805,$6465,⬇︎ (-13)
01-18-2024,Thursday,Cozy Crested Butte Condo 50 Yards from Ski Lift!,$660,$805,$6465,🟰
01-19-2024,Friday,Comfortable Condo close to Slopes with a Hot Tub!,$409,$481,$4077,⬆︎ (480)
01-19-2024,Friday,Easy Mountain - Mt Crested Butte,$196,$231,$2234,🟰
01-19-2024,Friday,"Hot Tub, Close Walk to the Slopes!",$348,$410,$3431,⬆︎ (406)
01-19-2024,Friday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$372,$437,$3659,⬆︎ (443)
01-19-2024,Friday,"Ski-in/Ski-out, Panoramic ski slope views, Heated Garage",$575,$765,$5561,🟰
01-19-2024,Friday,Cozy Crested Butte Condo 50 Yards from Ski Lift!,$660,$805,$6465,🟰
01-19-2024,Friday,"Ski-In, Ski-Out Condo. Steps from the lift!",$275,$455,$2886,🟰
01-19-2024,Friday,Comfortable Condo close to Slopes with a Hot Tub!,$409,$481,$4077,🟰
01-19-2024,Friday,"Hot Tub, Close Walk to the Slopes!",$348,$410,$3431,🟰
01-19-2024,Friday,LOCATION! Base Area Trails Right Outside your Door! GREAT RATES!,$372,$437,$3659,🟰
